portal,serial_no,ministry_department_organisation,officer_name_designation,address,phone_fax_email,source_url,fetched_at_utc
CPGRAMS Appeal,1,Central Board of Direct Taxes (Income Tax),Dipi Agarwal Commissioner of Income Tax _ TPS-II and R,"Central Board of Direct Taxes Room No 428, 4th Floor Mayur Bhawan, Connaught Circus, New Delhi",01123416148 delhi.dittps[at]incometax.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,2,Central Board of Indirect Taxes and Customs,Dr. Shailendra Kumar Sinha Director General,"Directorate General of Taxpayer Services, 1st Floor, Central Revenue Building, I.P. Estate, New Delhi",01123705809 shailendra.sinha[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,3,Department for Promotion of Industry and Internal Trade,Jai Prakash Shivahare Joint Secretary,"Room No. 221, Vanijya Bhavan New Delhi",01123038876 js-jps[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,4,Department of Agriculture and Farmers Welfare,Smt. S. Rukmani Joint Secretary,"Department of Agriculture Co-operation and Farmers Welfare Room No. 189, 1st Floor, Krishi Bhavan, New Delhi",01123381305 s.rukmani[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,5,Department of Agriculture Research and Education,Gyanendra Dev Tripathi Additional Secretary,"Room no. 106, Krishi Bhawan",01123384450 secy.icar[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,6,"Department of Animal Husbandry, Dairying",Dr. Muthukumarasamy B Joint Secretary,"Room No. 190 A, 1st Floor, Krishi Bhawan, New Delhi",01123382354 js-nlm[at]dahd.nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,7,Department of Atomic Energy,Smt. Nidhi Pandey Additional Secretary,"Department of Atomic Energy, Anushakti Bhavan, C.S.M. Marg, Mumbai, 400001",02222027535 as[at]dae.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,8,Department of Bio Technology,Ekta Vishnoi Joint Secretary,"Department of Biotechnology, 7th Floor, Room No. 711, Block 2, CGO Complex, Lodhi Road, New Delhi",01124362982 jsadmin.dbt[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,9,Department of Chemicals and Petrochemicals,Ms. Divya Parmar Economic Advisor,"Room No. 217, A wing, Shastri Bhawan.",01123386752 divya.parmar[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,10,Department of Commerce,Ms. Priya Nair Economic Adviser,"Room No. 328, Vanijya Bhawan, New Delhi",01123039556 priyanair.10[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,11,Department of Consumer Affairs,MS. M IMKONGLA JAMIR Joint Secretary,"Department of Consumer Affairs, Krishi Bhawan, New Delhi",01123381883 imkongla.jm[at]ias.nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,12,Department of Defence Finance,Shri Ashwini Kumar Tiwari IDAS Sr. Joint CGDA,"Ulan Batar Road, Palam, Delhi Cantt",01120893004 aktiwari68.dad[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,13,Department of Defence Production,Ms. Meera Mohanty Joint Secretary Pers and Coord,"Department of Defence Production, Room No.135-A, South Block, New Delhi",01123011553 Jscoord-ddp[at]mod.gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,14,Department of Defence Research and Development,Dr Mayank Dwivedi Outstanding Scientist and DG-HR,"Room No. 202, DRDO Bhawan, Rajaji Marg, New Delhi",01123016132 dghr.hqr[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,15,Department of Economic Affairs ACC Division,Ms. Sakshi Mittal Joint Secretary,"Room No. 15033, 5th Floor, A-Wing, Kartavya Bhavan - l, New Delhi",01123095033 sakshi.and[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,16,Department of Empowerment of Persons with Disabilities,Ms. Richa Shankar Statistical Advisor,"Department of Empowerment of Persons with Disabilities 5th Floor, Pt Deen Dayal Antyodaya Bhawan CGO Complex, New Delhi",01124364394 ddg-depwd[at]gov[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
CPGRAMS Appeal,17,Department of Ex Servicemen Welfare,Shri Pudi Hari Prasad Joint Secretary (ESW),"Department of Ex Servicemen Welfare, 99-A South Block, DHQ PO New Delhi",01123011804 jsesw[at]nic[dot]in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
