portal,serial_no,ministry_department_organisation,officer_name_designation,address,phone_fax_email,source_url,fetched_at_utc
CPGRAMS,1,Administrative Reforms and Public Grievances - PG Division,Sardendu Kumar Pandey Director,"5th Floor Sardar Patel Bhawan Sansad Marg, New Delhi",01123401455 Director-pg[at]gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,2,Agriculture and Farmers Welfare,Shri Rajesh Kumar Deputy Secretary PG,Room No. 434 Krishi Bhavan New Delhi,01123074238 rajesh.kumar67[at]nic[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,3,Agriculture Research and Education,Narendra Kumar Deputy Secretary,"R No. 207, Krishi Bhawan, New Delhi",01123046678 narendra.kumar74[at]nic[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,4,"Animal Husbandry, Dairying",RPS Rathore Director,"Room No. 297, 2nd Floor, Krishi Bhavan, New Delhi",01123385797 r.rathore[at]gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,5,Atomic Energy,Shri K.V. Madhavadas Deputy Secretary,"D/o Atomic Energy, Anushakti Bhavan, 3rd Floor, C S M Marg, MUMBAI",02222862516 dsscs[at]dae.gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,6,Ayush,Dr Srinivas Rao Chinta Joint Adviser,"AYUSH BHAWAN, GPO COMPLEX,B BLOCK,INA ,NEW DELHI",01124656948 ayush-cdn[at]gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,7,Bio Technology,Rajesh Kumar Singh Director,"Room No. 504, Block No. 3, 5th Floor, CGO Complex, Lodi Road, New Delhi",01124363656 rajesh.kumar[at]gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,8,Central Board of Direct Taxes (Income Tax),Swapna Devireddy Addl. Director of Income Tax TPS-II,"4th Floor, Mayur Bhawan, Connaught Circus, New Delhi",01123416133 delhi.addldit.eservices[at]incometax.gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,9,Central Board of Excise and Customs,Ms. Ranjana Chaudhary Joint Director,"Directorate General of Taxpayer Services, Room no 168, Ist Floor, Central Revenue Building, I.P. Es tate, New Delhi",01123370576 ranjana.chaudhary[at]gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
CPGRAMS,10,Chemicals and Petrochemicals,Shri. Chitvan Singh Dhillon Deputy Director,"Room No. 223 A , Shastri Bhavan, New Delhi",01123386083 chitvan.dhillon[at]gov[dot]in,https://pgportal.gov.in/Home/NodalPgOfficers,2026-08-23T06:45:58.414113+00:00
