name,in_cpgrams_nodal_pg,in_cpgrams_appeal,nodal_source_url,appeal_source_url,fetched_at_utc
Administrative Reforms and Public Grievances - PG Division,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Agriculture and Farmers Welfare,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Agriculture Research and Education,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
"Animal Husbandry, Dairying",yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Atomic Energy,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Ayush,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Bio Technology,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Central Board of Direct Taxes (Income Tax),yes,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Central Board of Excise and Customs,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Central Board of Indirect Taxes and Customs,no,yes,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Chemicals and Petrochemicals,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
Civil Aviation,yes,no,https://pgportal.gov.in/Home/NodalPgOfficers,https://pgportal.gov.in/Home/NodalAuthorityForAppeal,2026-08-23T06:45:58.414113+00:00
